lat,long,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp,pred_cluster,species,community,new,province,genus
37.237,-1.856,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"37.237,-1.856",Almer�a,Hemorrhois
36.797,-2.256,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.797,-2.256",Almer�a,Chamaeleo
36.835,-2.294,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.835,-2.294",Almer�a,Chamaeleo
36.82,-2.286,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.82,-2.286",Almer�a,Chamaeleo
36.763,-2.224,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.763,-2.224",Almer�a,Chamaeleo
36.759,-2.222,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.759,-2.222",Almer�a,Chamaeleo
36.79,-2.26,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.79,-2.26",Almer�a,Chamaeleo
36.799,-2.253,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.799,-2.253",Almer�a,Chamaeleo
36.76,-2.24,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.76,-2.24",Almeria,Chamaeleo
36.768,-2.232,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.768,-2.232",Almer�a,Chamaeleo
36.75,-2.23,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.75,-2.23",Almer�a,Chamaeleo
36.736,-3.936,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.736,-3.936",La Axarquía,Chamaeleo
36.738,-4.55,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.738,-4.55",M�laga,Chamaeleo
36.718,-4.3,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.718,-4.3",La Axarquía,Chamaeleo
37.13,-2.79,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"37.13,-2.79",Almer�a,Hemorrhois
36.79,-2.07,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"36.79,-2.07",Almer�a,Hemorrhois
36.73,-2.143,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon nevadensis,Andalucia,"36.73,-2.143",Almer�a,Timon
36.736,-2.205,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.736,-2.205",Almer�a,Chamaeleo
36.847,-2.041,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.847,-2.041",Almer�a,Chamaeleo
36.847,-2.04,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.847,-2.04",Almer�a,Chamaeleo
36.839,-2.208,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"36.839,-2.208",Almer�a,Hemorrhois
36.808,-2.147,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.808,-2.147",Almer�a,Chamaeleo
36.808,-2.146,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.808,-2.146",Almer�a,Chamaeleo
36.753,-2.95,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.753,-2.95",Almer�a,Podiceps
37.054,-3.001,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"37.054,-3.001",Almer�a,Capra
36.8,-2.3,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Eliomys quercinus,Andalucia,"36.8,-2.3",Almeria,Eliomys
36.763,-2.729,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.763,-2.729",Almer�a,Podiceps
36.693,-2.759,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tadorna tadorna,Andalucia,"36.693,-2.759",Almer�a,Tadorna
37.181,-2.831,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"37.181,-2.831",Almer�a,Capra
37.02,-2.47,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"37.02,-2.47",Almer�a,Capra
37.024,-2.453,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"37.024,-2.453",Almer�a,Capra
36.769,-2.221,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Platalea leucorodia,Andalucia,"36.769,-2.221",Almer�a,Platalea
36.698,-2.675,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tadorna tadorna,Andalucia,"36.698,-2.675",Almer�a,Tadorna
36.8,-2.233,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Bucanetes githagineus,Andalucia,"36.8,-2.233",Almer�a,Bucanetes
37.029,-1.927,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"37.029,-1.927",Almer�a,Chamaeleo
37.03,-1.927,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"37.03,-1.927",Almer�a,Chamaeleo
37.021,-1.925,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"37.021,-1.925",Almer�a,Chamaeleo
37.01,-1.88,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"37.01,-1.88",Almer�a,Chamaeleo
36.857,-2.388,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.857,-2.388",Almer�a,Chamaeleo
37.35,-1.7,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"37.35,-1.7",Almer�a,Vulpes
36.75,-2.3,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"36.75,-2.3",Almeria,Vulpes
36.8,-2.25,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"36.8,-2.25",Almer�a,Vulpes
36.779,-2.243,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"36.779,-2.243",Almer�a,Vulpes
39.844,-6.027,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Lissotriton boscai,Andalucia,"39.844,-6.027",C�ceres,Lissotriton
36.818,-2.256,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Upupa epops,Andalucia,"36.818,-2.256",Almer�a,Upupa
36.796,-2.257,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.796,-2.257",Almer�a,Podiceps
36.765,-2.22,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tadorna tadorna,Andalucia,"36.765,-2.22",Almer�a,Tadorna
36.763,-2.11,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"36.763,-2.11",Almer�a,Tachybaptus
36.706,-2.794,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Netta rufina,Andalucia,"36.706,-2.794",Almer�a,Netta
37.348,-1.927,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"37.348,-1.927",Almer�a,Podiceps
36.737,-5.796,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.737,-5.796",Cadiz,Blanus
36.743,-5.619,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.743,-5.619",Cadiz,Blanus
36.572,-6.207,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.572,-6.207",Cadiz,Blanus
36.18,-5.94,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.18,-5.94",La Janda,Chamaeleo
36.186,-5.938,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.186,-5.938",La Janda,Chamaeleo
36.185,-5.937,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.185,-5.937",La Janda,Chamaeleo
36.19,-6.023,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.19,-6.023",La Janda,Chamaeleo
36.187,-5.941,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.187,-5.941",La Janda,Chamaeleo
36.187,-5.939,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.187,-5.939",La Janda,Chamaeleo
36.185,-5.938,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.185,-5.938",La Janda,Chamaeleo
36.187,-5.938,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.187,-5.938",La Janda,Chamaeleo
36.186,-5.937,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.186,-5.937",La Janda,Chamaeleo
36.089,-5.775,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.089,-5.775",Campo de Gibraltar,Chamaeleo
36.857,-6.19,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.857,-6.19",Costa Noroeste,Timon
36.707,-6.431,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.707,-6.431",Costa Noroeste,Chamaeleo
36.673,-6.41,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.673,-6.41",Costa Noroeste,Chamaeleo
36.624,-6.374,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.624,-6.374",Costa Noroeste,Chamaeleo
36.334,-6.16,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.334,-6.16",Cadiz,Chamaeleo
36.054,-5.624,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.054,-5.624",Campo de Gibraltar,Timon
36.627,-6.377,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.627,-6.377",Costa Noroeste,Chamaeleo
36.376,-6.219,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.376,-6.219",Cadiz,Blanus
36.389,-6.135,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.389,-6.135",Cadiz,Chamaeleo
36.386,-6.173,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.386,-6.173",Cadiz,Chamaeleo
36.385,-6.172,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.385,-6.172",Cadiz,Chamaeleo
36.385,-6.169,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.385,-6.169",Cadiz,Chamaeleo
36.394,-6.151,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.394,-6.151",Cadiz,Chamaeleo
36.386,-6.172,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.386,-6.172",Cadiz,Chamaeleo
36.089,-5.784,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.089,-5.784",Campo de Gibraltar,Chamaeleo
36.088,-5.786,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.088,-5.786",Campo de Gibraltar,Chamaeleo
36.089,-5.781,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.089,-5.781",Campo de Gibraltar,Chamaeleo
36.089,-5.78,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.089,-5.78",Campo de Gibraltar,Chamaeleo
36.089,-5.779,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.089,-5.779",Campo de Gibraltar,Chamaeleo
36.779,-5.377,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.779,-5.377",Cadiz,Timon
36.758,-5.353,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.758,-5.353",Cadiz,Blanus
36.762,-5.349,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.762,-5.349",Cadiz,Blanus
36.763,-5.349,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.763,-5.349",Cadiz,Blanus
36.763,-5.348,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.763,-5.348",Cadiz,Blanus
36.766,-5.345,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Blanus cinereus,Andalucia,"36.766,-5.345",Cadiz,Blanus
36.766,-5.344,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.766,-5.344",Cadiz,Timon
36.507,-5.897,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.507,-5.897",La Janda,Timon
36.5,-5.9,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.5,-5.9",La Janda,Timon
36.089,-5.774,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Timon lepidus,Andalucia,"36.089,-5.774",Campo de Gibraltar,Timon
36.063,-5.723,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"36.063,-5.723",Campo de Gibraltar,Hemorrhois
36.017,-5.587,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"36.017,-5.587",Campo de Gibraltar,Hemorrhois
36.015,-5.587,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"36.015,-5.587",Campo de Gibraltar,Hemorrhois
36.388,-6.174,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.388,-6.174",Cadiz,Chamaeleo
36.863,-6.298,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.863,-6.298",Costa Noroeste,Chamaeleo
36.84,-6.33,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.84,-6.33",Costa Noroeste,Chamaeleo
36.845,-6.321,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.845,-6.321",Costa Noroeste,Chamaeleo
36.847,-6.316,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.847,-6.316",Costa Noroeste,Chamaeleo
36.847,-6.315,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.847,-6.315",Costa Noroeste,Chamaeleo
36.845,-6.32,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Chamaeleo chamaeleon,Andalucia,"36.845,-6.32",Costa Noroeste,Chamaeleo
37.435,-6.231,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Hemorrhois hippocrepis,Andalucia,"37.435,-6.231",Sevilla,Hemorrhois
36.741,-5.615,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Discoglossus galganoi,Andalucia,"36.741,-5.615",Cadiz,Discoglossus
36.88,-6.274,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Netta rufina,Andalucia,"36.88,-6.274",Costa Noroeste,Netta
37.233,-6.033,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tyto alba,Andalucia,"37.233,-6.033",Sevilla,Tyto
37.1,-6.15,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Netta rufina,Andalucia,"37.1,-6.15",Sevilla,Netta
36.15,-5.4,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Meles meles,Andalucia,"36.15,-5.4",Campo de Gibraltar,Meles
36.599,-6.098,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.599,-6.098",Cadiz,Herpestes
36.111,-5.71,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.111,-5.71",Campo de Gibraltar,Herpestes
36.209,-5.493,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.209,-5.493",Campo de Gibraltar,Herpestes
36.776,-5.773,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"36.776,-5.773",Cadiz,Tachybaptus
36.854,-5.67,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.854,-5.67",Cadiz,Podiceps
37.239,-6.052,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"37.239,-6.052",Sevilla,Tachybaptus
36.384,-5.72,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.384,-5.72",La Janda,Podiceps
36.658,-5.747,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.658,-5.747",Cadiz,Podiceps
36.69,-5.524,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.69,-5.524",Cadiz,Podiceps
36.833,-5.366,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.833,-5.366",Cadiz,Podiceps
36.298,-6.134,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"36.298,-6.134",La Janda,Tachybaptus
36.796,-5.41,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.796,-5.41",Cadiz,Capra
36.765,-5.398,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.765,-5.398",Cadiz,Capra
36.756,-5.418,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.756,-5.418",Cadiz,Capra
36.769,-5.381,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.769,-5.381",Cadiz,Capra
36.757,-5.399,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.757,-5.399",Cadiz,Capra
36.778,-5.377,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.778,-5.377",Cadiz,Capra
36.757,-5.375,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.757,-5.375",Cadiz,Capra
36.797,-5.413,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Meles meles,Andalucia,"36.797,-5.413",Cadiz,Meles
36.75,-5.4,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.75,-5.4",Cadiz,Capra
36.768,-5.381,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Capra pyrenaica,Andalucia,"36.768,-5.381",Cadiz,Capra
36.59,-6.12,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.59,-6.12",Cadiz,Herpestes
36.245,-5.84,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.245,-5.84",La Janda,Herpestes
36.234,-5.812,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.234,-5.812",La Janda,Herpestes
36.233,-5.855,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.233,-5.855",La Janda,Herpestes
36.163,-5.719,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"36.163,-5.719",Campo de Gibraltar,Vulpes
36.199,-5.775,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.199,-5.775",Campo de Gibraltar,Herpestes
36.232,-5.807,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Herpestes ichneumon,Andalucia,"36.232,-5.807",La Janda,Herpestes
36.2,-5.78,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Vulpes vulpes,Andalucia,"36.2,-5.78",Campo de Gibraltar,Vulpes
36.65,-6.229,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"36.65,-6.229",Cadiz,Tachybaptus
36.297,-5.905,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps cristatus,Andalucia,"36.297,-5.905",La Janda,Podiceps
36.443,-6.081,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.443,-6.081",Cadiz,Podiceps
36.588,-6.068,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.588,-6.068",Cadiz,Podiceps
36.63,-6.094,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.63,-6.094",Cadiz,Podiceps
36.613,-6.057,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.613,-6.057",Cadiz,Podiceps
36.618,-6.048,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Podiceps nigricollis,Andalucia,"36.618,-6.048",Cadiz,Podiceps
36.461,-6.07,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Netta rufina,Andalucia,"36.461,-6.07",Cadiz,Netta
36.537,-6.056,0.26025767,1.550703385,-0.299635398,0.386285653,0.954123006,0.985189336,0.481244972,0,Tachybaptus ruficollis,Andalucia,"36.537,-6.056",Cadiz,Tachybaptus
